Id;Id_Kurs;Id_Ziel
1;1;7
2;1;10
3;2;7
4;2;10
5;3;1
6;3;2
7;4;1
8;4;2
9;5;1
10;5;2
11;6;17
12;7;17
13;8;17
14;9;17
15;10;17
16;11;17
17;12;17
18;79;17
19;13;14
20;14;19
21;15;19
22;16;16
23;17;16
24;18;16
25;19;16
26;20;14
27;21;14
28;22;15
29;23;15
30;24;15
31;25;18
32;26;7
33;27;18
34;28;18
35;29;1
36;29;2
37;30;1
38;30;2
39;31;3
40;31;5
41;32;3
42;32;5
43;33;4
44;34;4
45;35;4
46;35;8
47;36;4
48;36;8
49;37;10
50;38;10
51;39;10
52;40;10
53;41;10
54;42;10
55;43;10
56;44;10
57;45;10
58;46;10
59;47;10
60;48;10
61;49;10
62;50;10
63;51;10
64;52;10
65;53;10
66;54;10
67;55;10
68;56;10
69;57;10
70;58;10
71;59;10
72;60;14
73;60;15
74;60;16
75;61;14
76;61;15
77;61;16
78;62;14
79;62;15
80;62;16
81;63;14
82;63;15
83;63;16
84;64;14
85;64;15
86;64;16
87;65;11
88;66;11
89;66;20
90;67;11
91;67;20
92;68;11
93;68;20
94;69;11
95;69;20
96;70;3
97;71;3
98;72;3
99;73;10
100;73;21
101;74;8
102;75;8
103;76;9
104;78;8
105;78;3
