Id;FK_Kurs;FK_Durchfuerungsort;Tag;Tag_Start;Zeit_Start;Tag_Ende;Zeit_Ende;Pause_Start;Pause_Ende;Häufigkeit;Anzahl Lektionen
1;1;1;dienstags;;09:00:00;;11:00:00;;;;
2;2;2;dienstags;;14:00:00;;16:00:00;;;;
3;3;;;;18:45:00;;21:00:00;;;16;
4;4;;;;19:00:00;;21:00:00;;;18;
5;5;;;;19:30:00;;21:30:00;;;18;
6;6;;Dienstags, Freitags;28.08.2018;07:30:00;01.02.2019;09:00:00;;;46;180
7;7;;Dienstags, Freitags;07.11.2018;07:30:00;10.04.2019;09:00:00;;;46;180
8;8;;Dienstags, Freitags;27.11.2018;07:30:00;25.04.2019;09:00:00;;;46;180
9;9;;Dienstags, Donnerstags;08.01.2019;18:30:00;04.06.2019;20:00:00;;;42;180
10;10;;Dienstags, Freitags;05.02.2019;07:30:00;05.07.2019;09:00:00;;;44;180
11;11;;;07.01.2019;09:00:00;01.02.2019;12:30:00;;;16;
12;12;;Montags;14.01.2019;17:30:00;18.03.2019;19:00:00;;;10;
13;79;;Dienstags, Donnerstags;30.04.2019;19:30:00;19.09.2019;21:00:00;;;40;180
14;13;;Dienstags, Donnerstags;04.09.2018;17:30:00;07.02.2019;19:00:00;;;42;120
15;14;;Montags;22.10.2018;19:00:00;25.03.2019;21:05:00;;;23;120
16;15;;Montags, Mittwochs;07.01.2019;18:30:00;22.05.2019;20:00:00;;;40;120
17;16;;Dienstags, Freitags;28.08.2018;07:30:00;01.02.2019;09:00:00;;;46;180
18;17;;Dienstags, Freitags;07.01.2019;09:00:00;01.02.2019;12:30:00;;;16;
19;18;;Montags, Mittwochs;07.01.2019;19:00:00;20.05.2019;20:30:00;;;39;120
20;19;;Montags, Mittwochs;14.01.2019;19:00:00;17.06.2019;20:30:00;;;45;120
21;20;;Dienstags, Donnerstags;04.09.2018;17:30:00;07.02.2019;19:00:00;;;42;120
22;21;;Dienstags, Donnerstags;12.02.2019;18:30:00;04.07.2019;20:00:00;;;42;120
23;22;;Dienstags, Donnerstags;24.10.2018;17:30:00;01.04.2019;19:00:00;;;46;120
24;23;;;07.01.2019;08:00:00;01.02.2019;11:30:00;;;16;
25;24;;Montags, Mittwochs;28.01.2019;19:00:00;01.07.2019;20:30:00;;;45;120
26;25;;Dienstags, Donnerstags;08.11.2018;18:35:00;09.04.2019;20:05:00;;;40;180
27;26;;Dienstags;05.02.2019;17:30:00;09.04.2019;19:00:00;;;10;
28;27;;Montags, Mittwochs;10.04.2019;18:35:00;02.09.2019;20:05:00;;;40;180
29;28;;Dienstags, Donnerstags;11.04.2019;19:35:00;03.09.2019;21:05:00;;;40;180
30;29;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;12;96
31;30;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;12;96
32;31;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;16;256
33;32;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;16;256
34;33;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;18;360
35;34;;Montag, Dienstag, Mittwoch, Donnerstag;;;;;;;18;360
36;35;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;;;;;;;18;340
37;36;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;;;;;;;18;340
38;37;;;;;;;;;16;60
39;38;;;;;;;;;16;60
40;39;;;;;;;;;16;60
41;40;;;;;;;;;16;60
42;41;;;;;;;;;17;68
43;42;;;;;;;;;18;80
44;43;;;;;;;;;18;80
45;44;;;;;;;;;12;48
46;45;;Mittwoch, Freitag;;;;;;;;80
47;46;;Montag, Donnerstag;;;;;;;;80
48;47;;Dienstag, Donnerstag;;;;;;;;80
49;48;;Montag, Donnerstag;;;;;;;;80
50;49;;Dienstag, Mittwoch;;;;;;;;80
51;50;;Dienstag, Donnerstag;;;;;;;;80
52;51;;Montag, Mittwoch;;;;;;;;80
53;52;;Donnerstag, Freitag;;;;;;;;80
54;53;;Montag, Mittwoch;;;;;;;;80
55;54;;Montag, Freitag;;;;;;;;80
56;55;;Dienstag, Donnerstag;;;;;;;;80
57;56;;Dienstag, Freitag;;;;;;;;80
58;57;;Montag, Mittwoch;;;;;;;;80
59;58;;Montag, Mittwoch;;;;;;;;80
60;59;;Montag, Dienstag;;;;;;;;80
61;60;;;;;;;;;12;48
62;61;;;;;;;;;12;48
63;62;;;;;;;;;12;48
64;63;;;;;;;;;12;48
65;64;;;;;;;;;12;48
66;65;3;;20.08.2019;18:00:00;07.11.2019;19:45:00;;;20;40
67;66;4;Dienstag;13.08.2019;09:15:00;17.12.2019;11:30:00;;;;48
68;67;4;Dienstag;13.08.2019;17:30:00;17.12.2019;19:45:00;;;;48
69;68;4;Mittwoch;14.08.2019;17:30:00;18.12.2019;19:45:00;;;;48
70;69;4;Donnerstag;15.08.2019;17:30:00;19.12.2019;19:45:00;;;;48
71;70;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;15.04.2018;08:20:00;21.06.2018;11:50:00;;;10;200
72;70;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;15.04.2019;13:20:00;21.06.2019;16:50:00;;;10;200
73;71;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;29.04.2018;08:20:00;04.07.2018;11:50:00;;;10;200
74;71;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;29.04.2019;13:20:00;04.07.2019;16:50:00;;;10;200
75;72;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;13.05.2018;08:20:00;16.08.2018;11:50:00;;;10;200
76;72;;Montag, Dienstag, Mittwoch, Donnerstag, Freitag;13.05.2019;13:20:00;16.08.2019;16:50:00;;;10;200
77;73;;;;;;;;;;
78;74;;Dienstag, Mittwoch ;;;;;;;;
79;75;;Donnerstag;;09:00;;11:00;;;;
80;76;;Donnerstag;;14:30;;17:00;;;;
81;77;;;;;;;;;;
82;78;;;;;;;;;;
